,NE,Count,Type
313,Beijing,41,LOCATION
314,United Nations,41,ORGANIZATION
315,United States House of Representatives,41,ORGANIZATION
316,Oregon Webfoots,41,O
317,Brisbane,41,LOCATION
318,Sakis Rouvas,41,PERSON
319,Middle East,41,LOCATION
320,William,41,PERSON
321,Saramaka,41,PERSON
322,Air Force,41,O
323,Robinson,40,PERSON
324,Elizabeth,40,PERSON
325,Nashville,40,LOCATION
326,Wikimedia Foundation,40,ORGANIZATION
327,Robert McClenon,40,PERSON
328,Northern Ireland,40,LOCATION
329,Fritz,40,PERSON
330,Bristol,40,LOCATION
331,Andrew Bogut,39,PERSON
332,Oxford University Press,39,ORGANIZATION
333,CS Tallinn Trophy,39,ORGANIZATION
334,Nepal,39,LOCATION
335,Nicholas,39,PERSON
336,MLB,39,O
337,Michelena,39,PERSON
338,Odisha,39,PERSON
339,Warsaw,39,LOCATION
340,Douglas,39,PERSON
341,Manitoba,39,LOCATION
342,Stockholm,38,LOCATION
343,Cabral,38,PERSON
344,Adelaide,38,LOCATION
345,Santiago,38,LOCATION
346,Kansas City,38,LOCATION
347,Rhode Island,38,LOCATION
348,Cyprus,38,LOCATION
349,Jackson,38,PERSON
350,Slovakia,38,LOCATION
351,Kashmir,38,LOCATION
352,Burke,38,PERSON
353,Fisk,38,PERSON
354,Proctor,38,PERSON
355,Suzuki,37,PERSON
356,Earth,37,O
357,Texas Rangers,37,ORGANIZATION
358,Newcastle,37,PERSON
359,Marlton,37,LOCATION
360,Norfolk,37,LOCATION
361,Mark Arsten,37,PERSON
362,CIA,37,ORGANIZATION
363,Navy,37,ORGANIZATION
364,NBA,37,O
365,Advisory Committee on Antarctic Names,37,ORGANIZATION
366,Bulgaria,37,LOCATION
367,Calvary Hill,36,PERSON
368,Essex,36,PERSON
369,Houston,36,LOCATION
370,Simon,36,PERSON
371,United States.,36,LOCATION
372,Wyoming,36,LOCATION
373,Manchester,36,LOCATION
374,Griffith,36,PERSON
375,South America,36,LOCATION
376,Hill,36,PERSON
377,Las Vegas,36,LOCATION
378,Kent,35,PERSON
379,LTTE,35,ORGANIZATION
380,Taylor,35,PERSON
381,Michelle,35,PERSON
382,Nelson,35,PERSON
383,Jamaica,35,LOCATION
384,Nova Scotia,35,LOCATION
385,Auckland,35,LOCATION
386,Edward,35,PERSON
387,Bratt,35,PERSON
388,Marshall,35,PERSON
389,Committee,35,O
390,Legacypac,35,PERSON
391,Edinburgh,35,LOCATION
392,Yoshihiko,35,PERSON
393,Howard,34,PERSON
394,Matthew,34,PERSON
395,Daniel,34,PERSON
396,Qatar,34,LOCATION
397,Anita,34,PERSON
398,Salton City,34,LOCATION
399,Morton,34,PERSON
400,Hyde,34,PERSON
401,House,34,O
402,Brussels,34,LOCATION
403,Bosnia,34,LOCATION
404,United States District Court,34,ORGANIZATION
405,NHL,34,ORGANIZATION
406,Syria,33,LOCATION
407,Hamilton,33,PERSON
408,Shakespeare,33,PERSON
409,Martin,33,PERSON
410,Seattle,33,LOCATION
411,Army,33,O
412,Harrington,33,PERSON
413,New York Yankees,33,ORGANIZATION
414,Brooklyn,33,LOCATION
415,Bob,33,PERSON
416,Luke,32,PERSON
417,Dominican Republic,32,LOCATION
418,Royal Navy,32,ORGANIZATION
419,Sussex,32,ORGANIZATION
420,Ponce,32,PERSON
421,Kannada,32,O
422,Jekyll,32,PERSON
423,Devon,32,PERSON
424,Cuba,32,LOCATION
425,Connell,32,PERSON
426,Walpole,32,LOCATION
427,Jordan,32,PERSON
428,Suriname,32,LOCATION
429,Barbuda,32,LOCATION
430,Nichols,32,PERSON
431,YouTube,32,O
432,EU,32,ORGANIZATION
433,Nina,32,PERSON
434,NCAA Season,32,ORGANIZATION
435,Somerset,32,LOCATION
436,Manhattan,32,LOCATION
437,Shuko,31,PERSON
438,Cooper,31,PERSON
439,Murphy,31,PERSON
440,Moore,31,PERSON
441,Chinese,31,O
442,Phillips,31,PERSON
443,Mahon,31,PERSON
444,Lausanne,31,LOCATION
445,Graham,31,PERSON
446,Hickam,31,PERSON
447,Aquash,31,PERSON
448,European Union,31,ORGANIZATION
